experiment_id,fault_type,fault_target,ground_truth_root_cause,detected_root_cause,rca_match,detected_confidence,incident_id,traffic_rate_rps,requests_started,requests_completed,requests_failed,observed_start_rate,observed_completion_rate,max_concurrent_requests,average_response_latency,p95_response_latency,telemetry_samples_count,duration_seconds,experiment_status
EXP-035,NETWORK_LATENCY,inventory-service,inventory-service,inventory-service,True,0.91,bb9310a8-cc31-4a5d-9dab-63e6af2817ab,1,40,40,0,1.02,1.02,3,1448.43,2223.1,195,26.0,SUCCESS
EXP-036,NETWORK_LATENCY,inventory-service,inventory-service,inventory-service,True,0.9071,a54873e9-6677-4b32-8c28-5aad0ed7f91e,1,40,40,0,1.02,1.02,1,538.75,823.12,200,26.0,SUCCESS
EXP-037,SERVICE_LATENCY,inventory-service,inventory-service,inventory-service,True,0.8615,4570a9cf-0e93-4839-9747-8b1fb4d31398,1,40,40,0,1.02,1.02,1,146.92,220.63,195,26.0,SUCCESS
EXP-038,SERVICE_LATENCY,inventory-service,inventory-service,inventory-service,True,0.9011,735ae71d-ed6b-41e6-bd5e-9cdade4ad275,1,40,40,0,1.02,1.02,1,341.64,522.66,200,26.0,SUCCESS
EXP-039,SERVICE_LATENCY,inventory-service,inventory-service,inventory-service,True,0.9071,a3025de1-c051-4805-985d-f49adb5139bc,15,586,586,0,15.01,15.01,13,545.32,816.39,200,26.0,SUCCESS
EXP-040,SERVICE_LATENCY,inventory-service,inventory-service,inventory-service,True,0.91,082bc15f-2ae7-4d00-b547-b4a552d42cc8,1,40,40,0,1.02,1.02,2,797.46,1221.89,195,26.0,SUCCESS
EXP-041,SERVICE_LATENCY,inventory-service,inventory-service,inventory-service,True,0.91,6dd0c3d0-da41-4625-850f-0cabd8840f7b,1,40,40,0,1.02,1.02,2,1188.89,1830.37,200,26.0,SUCCESS
EXP-042,SERVICE_LATENCY,inventory-service,inventory-service,inventory-service,True,0.91,5a1a65ab-b8e1-42e6-a8db-cec66b05409a,1,40,40,0,1.02,1.02,3,1643.68,2521.61,195,26.0,SUCCESS
EXP-043,SERVICE_FAILURE,inventory-service,inventory-service,inventory-service,True,0.7843,a9272e8b-7d7d-4eba-887f-91a14dfd1245,1,40,14,26,1.02,0.36,1,19.37,27.18,200,26.0,SUCCESS
EXP-044,SERVICE_FAILURE,inventory-service,inventory-service,inventory-service,True,0.7843,b8875d20-13ea-4502-b038-6ea448d4e14b,5,196,66,130,5.02,1.69,1,15.9,21.51,195,26.0,SUCCESS
EXP-045,SERVICE_FAILURE,inventory-service,inventory-service,inventory-service,True,0.7843,b4d2796c-246c-48d8-b951-d48c5ca3c093,15,586,196,390,15.01,5.02,1,13.21,18.56,200,26.0,SUCCESS
EXP-046,SERVICE_LATENCY,order-service,order-service,order-service,True,0.7569,6f284582-f2f8-4cd9-ae62-c3a4c8192271,1,40,40,0,1.02,1.02,1,146.26,222.16,200,26.0,SUCCESS
EXP-047,SERVICE_LATENCY,order-service,order-service,order-service,True,0.8996,8381d1b8-2c73-40ea-86b1-a1627758109f,5,196,196,0,5.02,5.02,3,279.09,417.21,195,26.0,SUCCESS
EXP-048,SERVICE_LATENCY,order-service,order-service,order-service,True,0.9036,46a37c9d-9f26-43a9-8667-e70945fd3132,1,40,40,0,1.02,1.02,1,405.96,622.99,200,26.0,SUCCESS
EXP-049,SERVICE_LATENCY,order-service,order-service,order-service,True,0.9086,f32a2c93-d0d9-4133-8c64-d4a058214e94,5,196,196,0,5.02,5.02,5,578.64,870.65,195,26.0,SUCCESS
EXP-050,SERVICE_LATENCY,order-service,order-service,order-service,True,0.91,aa52c9d4-8700-462e-972b-b553ecb39728,1,40,40,0,1.02,1.02,2,664.18,1017.15,200,26.0,SUCCESS
EXP-051,SERVICE_LATENCY,order-service,order-service,order-service,True,0.91,8e407c4f-3b1a-4c81-8913-2f353b3e0ce4,1,40,40,0,1.02,1.02,2,793.43,1218.69,195,26.0,SUCCESS
EXP-052,SERVICE_LATENCY,order-service,order-service,order-service,True,0.91,4c0f5bcd-d920-4d7d-95fc-949a452dd0c4,1,40,40,0,1.02,1.02,2,991.05,1521.77,200,26.0,SUCCESS
EXP-053,SERVICE_LATENCY,order-service,order-service,order-service,True,0.91,c37d9af0-9f7d-4f9e-8ac1-6261cc4e9cae,1,40,40,0,1.02,1.02,2,1186.96,1824.21,200,26.0,SUCCESS
EXP-054,SERVICE_LATENCY,order-service,order-service,order-service,True,0.9086,4a4ed2d7-253e-4183-827a-2f6300dd19e5,1,40,40,0,1.02,1.02,1,568.07,871.55,195,26.0,SUCCESS
EXP-055,ERROR_RATE,order-service,order-service,order-service,True,0.3224,35a02f55-8206-4df6-a126-34b20dd5f66a,1,40,40,0,1.02,1.02,1,534.57,821.41,200,26.0,SUCCESS
EXP-056,ERROR_RATE,order-service,order-service,order-service,True,0.6724,639b60ef-66be-4b87-b809-fd9f85ce39d5,1,40,40,0,1.02,1.02,1,537.14,821.7,195,26.0,SUCCESS
EXP-057,ERROR_RATE,order-service,order-service,order-service,True,0.7473,75393ba3-8202-4e7a-9812-28c0909863f7,5,196,196,0,5.02,5.02,5,544.63,817.35,200,26.0,SUCCESS
EXP-058,ERROR_RATE,order-service,order-service,order-service,True,0.99,2677f7ec-4327-4715-bbaf-c5a61b7881e8,1,40,40,0,1.02,1.02,1,537.25,822.25,195,26.0,SUCCESS
EXP-059,ERROR_RATE,order-service,order-service,order-service,True,0.8976,f3eafb57-e638-4360-bc7a-584046206e4d,1,40,40,0,1.02,1.02,1,538.25,828.3,200,26.0,SUCCESS
EXP-060,ERROR_RATE,order-service,order-service,order-service,True,0.8996,d95bf782-0477-48cd-93ed-aedbb8bce156,1,40,40,0,1.02,1.02,1,536.53,821.49,195,26.0,SUCCESS
EXP-061,SERVICE_FAILURE,order-service,order-service,order-service,True,0.7848,7df8869f-1d35-451a-9901-33ea92fe04d8,1,40,14,26,1.02,0.36,1,14.71,19.06,200,26.0,SUCCESS
EXP-062,SERVICE_FAILURE,order-service,order-service,order-service,True,0.7848,8df9ee95-7310-417a-ad4d-93ad88b8bb2f,5,196,66,130,5.02,1.69,1,13.2,16.83,195,26.0,SUCCESS
EXP-063,SERVICE_FAILURE,payment-service,payment-service,order-service,False,0.7061,d2a014ea-f5b5-47c3-a96e-731da64edd27,1,40,14,26,1.02,0.36,1,17.34,22.22,200,26.0,SUCCESS
EXP-064,SERVICE_FAILURE,payment-service,payment-service,order-service,False,0.7061,094fda70-caa8-44d1-b04e-2f36949a8b2c,5,196,66,130,5.02,1.69,1,15.79,19.85,200,26.0,SUCCESS
EXP-065,SERVICE_FAILURE,payment-service,payment-service,order-service,False,0.7061,90e6f2b4-1003-4426-932c-5c457934ade0,15,586,196,390,15.01,5.02,1,13.12,18.09,195,26.0,SUCCESS
EXP-066,SERVICE_FAILURE,payment-service,payment-service,none,,0.0,none,1,40,14,26,1.02,0.36,1,16.67,23.3,200,26.0,SUCCESS
EXP-067,ERROR_RATE,payment-service,payment-service,payment-service,True,0.3221,bf4350aa-870f-4df3-8dd7-c0012b2df38d,1,40,40,0,1.02,1.02,1,533.3,820.97,195,26.0,SUCCESS
EXP-068,ERROR_RATE,payment-service,payment-service,payment-service,True,0.5345,7b9ea879-bc37-4b10-b469-40ea0d33e3df,5,196,196,0,5.02,5.02,5,542.85,816.97,200,26.0,SUCCESS
EXP-069,ERROR_RATE,payment-service,payment-service,payment-service,True,0.747,a6e6932f-964f-4151-90d8-3bbda2d966ec,15,587,587,0,15.02,15.02,13,542.16,814.63,195,26.0,SUCCESS
EXP-070,ERROR_RATE,payment-service,payment-service,none,,0.0,none,1,40,40,0,1.02,1.02,1,534.19,818.78,200,26.0,SUCCESS
EXP-071,ERROR_RATE,payment-service,payment-service,payment-service,True,0.99,aea2306e-0277-48d3-81d0-eee3a36301d5,5,196,196,0,5.02,5.02,5,541.92,815.08,195,26.0,SUCCESS
EXP-072,ERROR_RATE,payment-service,payment-service,payment-service,True,0.8973,71fb513b-fe31-4ee0-8680-0865e9524939,1,40,40,0,1.02,1.02,1,534.37,820.34,195,26.0,SUCCESS
EXP-073,ERROR_RATE,payment-service,payment-service,payment-service,True,0.8993,2b60f413-f957-4f86-a24f-1c56d51e6a4c,1,40,40,0,1.02,1.02,1,534.8,822.18,195,26.0,SUCCESS
EXP-074,NETWORK_LATENCY,payment-service,payment-service,none,,0.0,none,1,40,40,0,1.02,1.02,1,275.39,420.2,195,26.0,SUCCESS
EXP-075,NETWORK_LATENCY,payment-service,payment-service,none,,0.0,none,1,40,40,0,1.02,1.02,1,536.35,821.22,195,26.0,SUCCESS
EXP-076,NETWORK_LATENCY,payment-service,payment-service,payment-service,True,0.91,59b2916e-b84e-4c51-8722-2d712d34c777,1,40,40,0,1.02,1.02,1,633.6,970.05,195,26.0,SUCCESS
EXP-077,NETWORK_LATENCY,payment-service,payment-service,none,,0.0,none,1,40,40,0,1.02,1.02,2,992.24,1521.41,195,26.0,SUCCESS
EXP-078,NETWORK_LATENCY,payment-service,payment-service,order-service,False,0.91,1810de78-ff9c-479d-bb20-2fc7e85a362b,1,40,40,0,1.02,1.02,3,1446.57,2221.19,195,26.0,SUCCESS
EXP-079,SERVICE_LATENCY,payment-service,payment-service,none,,0.0,none,1,40,40,0,1.02,1.02,1,341.36,520.67,200,26.0,SUCCESS
EXP-080,SERVICE_LATENCY,payment-service,payment-service,none,,0.0,none,5,196,196,0,5.02,5.02,7,809.02,1216.37,195,26.0,SUCCESS
